tester,platform,testid
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0012c-csv
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0019b-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0019b-json
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0012b-csv
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0002j-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0009b-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007e-xml
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0006a-xml
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0002h-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0005b-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0005b-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0008a-csv
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0004b-csv
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0008c-csv
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0010c-xml
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007g-xml
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007g-sparql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007h-postgresql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0002h-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0008b-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0004a-sparql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0012a-csv
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0011a-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0003a-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0012b-sparql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007f-xml
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0002b-sparql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0012e-postgresql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0011b-postgresql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0003a-postgresql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0002e-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007e-json
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0010b-xml
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0003a-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0016c-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007d-mysql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0008b-csv
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0002b-json
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0004a-csv
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0002c-json
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0005a-csv
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0002h-postgresql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0009b-csv
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007e-sparql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007d-json
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0013a-json
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0011b-xml
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0008b-postgresql
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0011b-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007b-xml
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0007e-sqlserver
dchaves.oeg-upm.net,https://github.com/carml/carml,rmltc0012d-csv
