id;CARML
RMLTC0009a-SQLServer;NOT SUPPORTED
RMLTC0009a-XML;PASSED
RMLTC0009b-CSV;FAILED
RMLTC0009b-JSON;FAILED
RMLTC0009b-MySQL;NOT SUPPORTED
RMLTC0009b-PostgreSQL;NOT SUPPORTED
RMLTC0009b-SPARQL;NOT SUPPORTED
RMLTC0009b-SQLServer;NOT SUPPORTED
RMLTC0009b-XML;FAILED
RMLTC0009c-MySQL;NOT SUPPORTED
RMLTC0009c-PostgreSQL;NOT SUPPORTED
RMLTC0009c-SQLServer;NOT SUPPORTED
RMLTC0009d-MySQL;NOT SUPPORTED
RMLTC0009d-PostgreSQL;NOT SUPPORTED
RMLTC0009d-SQLServer;NOT SUPPORTED
RMLTC0010a-CSV;PASSED
RMLTC0010a-JSON;FAILED
RMLTC0010a-MySQL;NOT SUPPORTED
RMLTC0010a-PostgreSQL;NOT SUPPORTED
RMLTC0010a-SQLServer;NOT SUPPORTED
RMLTC0010b-CSV;FAILED
RMLTC0010b-JSON;FAILED
RMLTC0010b-MySQL;NOT SUPPORTED
RMLTC0010b-PostgreSQL;NOT SUPPORTED
RMLTC0010b-SQLServer;NOT SUPPORTED
RMLTC0010b-XML;FAILED
RMLTC0010c-CSV;FAILED
RMLTC0010c-JSON;FAILED
RMLTC0010c-MySQL;NOT SUPPORTED
RMLTC0010c-PostgreSQL;NOT SUPPORTED
RMLTC0010c-SQLServer;NOT SUPPORTED
RMLTC0010c-XML;FAILED
RMLTC0011a-MySQL;NOT SUPPORTED
RMLTC0011a-PostgreSQL;NOT SUPPORTED
RMLTC0011a-SQLServer;NOT SUPPORTED
RMLTC0011b-CSV;PASSED
RMLTC0011b-JSON;PASSED
RMLTC0011b-MySQL;NOT SUPPORTED
RMLTC0011b-PostgreSQL;NOT SUPPORTED
RMLTC0011b-SQLServer;NOT SUPPORTED
RMLTC0011b-XML;PASSED
RMLTC0012a-CSV;PASSED
RMLTC0012a-JSON;PASSED
RMLTC0012a-MySQL;NOT SUPPORTED
RMLTC0012a-PostgreSQL;NOT SUPPORTED
RMLTC0012a-SPARQL;NOT SUPPORTED
RMLTC0012a-SQLServer;NOT SUPPORTED
RMLTC0012a-XML;PASSED
RMLTC0012b-CSV;PASSED
RMLTC0012b-JSON;PASSED
RMLTC0012b-MySQL;NOT SUPPORTED
RMLTC0012b-PostgreSQL;NOT SUPPORTED
RMLTC0012b-SPARQL;NOT SUPPORTED
RMLTC0012b-SQLServer;NOT SUPPORTED
RMLTC0012b-XML;PASSED
RMLTC0012c-CSV;FAILED
RMLTC0012c-JSON;FAILED
RMLTC0012c-XML;FAILED
RMLTC0012d-CSV;FAILED
RMLTC0012d-JSON;FAILED
RMLTC0012d-XML;FAILED
RMLTC0012e-MySQL;NOT SUPPORTED
RMLTC0012e-PostgreSQL;NOT SUPPORTED
RMLTC0012e-SQLServer;NOT SUPPORTED
RMLTC0013a-JSON;FAILED
RMLTC0013a-MySQL;NOT SUPPORTED
RMLTC0013a-PostgreSQL;NOT SUPPORTED
RMLTC0013a-SQLServer;NOT SUPPORTED
RMLTC0014d-MySQL;NOT SUPPORTED
RMLTC0014d-PostgreSQL;NOT SUPPORTED
RMLTC0014d-SQLServer;NOT SUPPORTED
RMLTC0015a-CSV;PASSED
RMLTC0015a-JSON;PASSED
RMLTC0015a-MySQL;NOT SUPPORTED
RMLTC0015a-PostgreSQL;NOT SUPPORTED
RMLTC0015a-SQLServer;NOT SUPPORTED
RMLTC0015a-XML;PASSED
RMLTC0015b-CSV;PASSED
RMLTC0015b-JSON;PASSED
RMLTC0015b-MySQL;NOT SUPPORTED
RMLTC0015b-PostgreSQL;NOT SUPPORTED
RMLTC0015b-SQLServer;NOT SUPPORTED
RMLTC0015b-XML;PASSED
RMLTC0016a-MySQL;NOT SUPPORTED
RMLTC0016a-PostgreSQL;NOT SUPPORTED
RMLTC0016a-SQLServer;NOT SUPPORTED
RMLTC0016b-MySQL;NOT SUPPORTED
RMLTC0016b-PostgreSQL;NOT SUPPORTED
RMLTC0016b-SQLServer;NOT SUPPORTED
RMLTC0016c-MySQL;NOT SUPPORTED
RMLTC0016c-PostgreSQL;NOT SUPPORTED
RMLTC0016c-SQLServer;NOT SUPPORTED
RMLTC0016d-MySQL;NOT SUPPORTED
RMLTC0016d-PostgreSQL;NOT SUPPORTED
RMLTC0016d-SQLServer;NOT SUPPORTED
RMLTC0016e-MySQL;NOT SUPPORTED
RMLTC0016e-PostgreSQL;NOT SUPPORTED
RMLTC0016e-SQLServer;NOT SUPPORTED
RMLTC0018a-MySQL;NOT SUPPORTED
RMLTC0018a-PostgreSQL;NOT SUPPORTED
RMLTC0018a-SQLServer;NOT SUPPORTED
RMLTC0019a-CSV;FAILED
RMLTC0019a-JSON;FAILED
RMLTC0019a-MySQL;NOT SUPPORTED
RMLTC0019a-PostgreSQL;NOT SUPPORTED
RMLTC0019a-SQLServer;NOT SUPPORTED
RMLTC0019a-XML;FAILED
RMLTC0019b-CSV;FAILED
RMLTC0019b-JSON;FAILED
RMLTC0019b-MySQL;NOT SUPPORTED
RMLTC0019b-PostgreSQL;NOT SUPPORTED
RMLTC0019b-SQLServer;NOT SUPPORTED
RMLTC0019b-XML;FAILED
RMLTC0020a-CSV;FAILED
RMLTC0020a-JSON;FAILED
RMLTC0020a-MySQL;NOT SUPPORTED
RMLTC0020a-PostgreSQL;NOT SUPPORTED
RMLTC0020a-SQLServer;NOT SUPPORTED
RMLTC0020a-XML;FAILED
RMLTC0020b-CSV;FAILED
RMLTC0020b-JSON;FAILED
RMLTC0020b-MySQL;NOT SUPPORTED
RMLTC0020b-PostgreSQL;NOT SUPPORTED
RMLTC0020b-SQLServer;NOT SUPPORTED
RMLTC0020b-XML;FAILED
