testid,result
RMLTC0007g-CSV,passed
RMLTC0011b-JSON,passed
RMLTC0006a-CSV,passed
RMLTC0007e-CSV,passed
RMLTC0002f-SQLServer,failed
RMLTC0012b-XML,passed
RMLTC0007g-JSON,passed
RMLTC0012d-JSON,passed
RMLTC0004b-XML,passed
RMLTC0006a-JSON,passed
RMLTC0008a-XML,passed
RMLTC0008a-SQLServer,passed
RMLTC0020a-MySQL,passed
RMLTC0010a-CSV,passed
RMLTC0003b-SQLServer,passed
RMLTC0007c-PostgreSQL,passed
RMLTC0012d-MySQL,passed
RMLTC0016a-MySQL,passed
RMLTC0001a-PostgreSQL,passed
RMLTC0002f-PostgreSQL,failed
RMLTC0008a-MySQL,passed
RMLTC0004a-MySQL,passed
RMLTC0012c-XML,passed
RMLTC0007d-CSV,passed
RMLTC0001a-SPARQL,passed
RMLTC0007h-MySQL,passed
RMLTC0012d-SQLServer,passed
RMLTC0016e-MySQL,failed
RMLTC0007b-SPARQL,passed
RMLTC0018a-PostgreSQL,passed
RMLTC0007f-SQLServer,passed
RMLTC0018a-MySQL,failed
RMLTC0011a-SQLServer,failed
RMLTC0009a-XML,passed
RMLTC0006a-MySQL,passed
RMLTC0002d-MySQL,passed
RMLTC0004a-PostgreSQL,passed
RMLTC0007f-PostgreSQL,passed
RMLTC0002g-SPARQL,passed
RMLTC0007f-JSON,passed
RMLTC0016b-PostgreSQL,failed
RMLTC0002c-PostgreSQL,passed
RMLTC0007a-CSV,passed
RMLTC0002a-JSON,passed
RMLTC0011a-PostgreSQL,failed
RMLTC0007c-CSV,passed
RMLTC0003b-PostgreSQL,passed
RMLTC0014d-PostgreSQL,passed
RMLTC0012d-XML,passed
RMLTC0007h-XML,passed
RMLTC0015b-JSON,passed
RMLTC0008a-SPARQL,passed
RMLTC0002f-MySQL,failed
RMLTC0009c-SQLServer,passed
RMLTC0019a-JSON,passed
RMLTC0011b-CSV,passed
RMLTC0009b-XML,passed
RMLTC0008c-JSON,passed
RMLTC0005a-XML,passed
RMLTC0020b-SQLServer,passed
RMLTC0007b-CSV,passed
RMLTC0012b-MySQL,passed
RMLTC0010b-SQLServer,passed
RMLTC0008c-PostgreSQL,passed
RMLTC0014d-MySQL,passed
RMLTC0010a-MySQL,passed
RMLTC0007a-JSON,passed
RMLTC0002b-XML,passed
RMLTC0012b-JSON,passed
RMLTC0002i-PostgreSQL,passed
RMLTC0002j-SQLServer,passed
RMLTC0002a-MySQL,passed
RMLTC0020a-PostgreSQL,passed
RMLTC0000-JSON,passed
RMLTC0007a-SQLServer,passed
RMLTC0002c-XML,passed
RMLTC0012c-SQLServer,passed
RMLTC0020b-CSV,passed
RMLTC0012a-PostgreSQL,passed
RMLTC0012e-MySQL,failed
RMLTC0007f-SPARQL,passed
RMLTC0015b-PostgreSQL,passed
RMLTC0008b-MySQL,passed
RMLTC0016e-PostgreSQL,failed
RMLTC0007a-PostgreSQL,passed
RMLTC0016b-MySQL,passed
RMLTC0002d-PostgreSQL,passed
RMLTC0009b-JSON,passed
RMLTC0003c-SQLServer,passed
RMLTC0002a-XML,passed
RMLTC0002g-SQLServer,passed
RMLTC0016a-SQLServer,passed
RMLTC0004b-MySQL,passed
RMLTC0009d-SQLServer,passed
RMLTC0010b-JSON,passed
RMLTC0002c-MySQL,passed
RMLTC0020a-CSV,passed
RMLTC0020b-MySQL,passed
RMLTC0010c-MySQL,passed
RMLTC0005a-JSON,passed
RMLTC0009b-PostgreSQL,passed
RMLTC0001b-SQLServer,passed
RMLTC0002g-MySQL,passed
RMLTC0013a-SQLServer,failed
RMLTC0007g-SQLServer,passed
RMLTC0007d-PostgreSQL,passed
