testid,result
RMLTC0000-CSV,passed
RMLTC0000-JSON,passed
RMLTC0000-XML,inapplicable
RMLTC0000-MySQL,passed
RMLTC0000-PostgreSQL,passed
RMLTC0000-SQLServer,passed
RMLTC0000-SPARQL,inapplicable
RMLTC0001a-CSV,passed
RMLTC0001a-JSON,passed
RMLTC0001a-XML,inapplicable
RMLTC0001a-MySQL,passed
RMLTC0001a-PostgreSQL,passed
RMLTC0001a-SQLServer,passed
RMLTC0001a-SPARQL,inapplicable
RMLTC0001b-CSV,passed
RMLTC0001b-JSON,passed
RMLTC0001b-XML,inapplicable
RMLTC0001b-MySQL,passed
RMLTC0001b-PostgreSQL,passed
RMLTC0001b-SQLServer,passed
RMLTC0001b-SPARQL,inapplicable
RMLTC0002a-CSV,passed
RMLTC0002a-JSON,passed
RMLTC0002a-XML,inapplicable
RMLTC0002a-MySQL,passed
RMLTC0002a-PostgreSQL,passed
RMLTC0002a-SQLServer,passed
RMLTC0002a-SPARQL,inapplicable
RMLTC0002b-CSV,passed
RMLTC0002b-JSON,passed
RMLTC0002b-XML,inapplicable
RMLTC0002b-MySQL,passed
RMLTC0002b-PostgreSQL,passed
RMLTC0002b-SQLServer,passed
RMLTC0002b-SPARQL,inapplicable
RMLTC0002c-CSV,failed
RMLTC0002c-JSON,failed
RMLTC0002c-XML,inapplicable
RMLTC0002c-MySQL,failed
RMLTC0002c-PostgreSQL,failed
RMLTC0002c-SQLServer,failed
RMLTC0002d-MySQL,passed
RMLTC0002d-PostgreSQL,passed
RMLTC0002d-SQLServer,passed
RMLTC0002e-CSV,failed
RMLTC0002e-JSON,failed
RMLTC0002e-XML,inapplicable
RMLTC0002e-MySQL,failed
RMLTC0002e-PostgreSQL,failed
RMLTC0002e-SQLServer,failed
RMLTC0002f-MySQL,failed
RMLTC0002f-PostgreSQL,failed
RMLTC0002f-SQLServer,failed
RMLTC0002g-JSON,passed
RMLTC0002g-MySQL,passed
RMLTC0002g-PostgreSQL,passed
RMLTC0002g-SQLServer,passed
RMLTC0002g-SPARQL,inapplicable
RMLTC0002h-MySQL,passed
RMLTC0002h-PostgreSQL,passed
RMLTC0002h-SQLServer,passed
RMLTC0002h-SPARQL,passed
RMLTC0002i-MySQL,passed
RMLTC0002i-PostgreSQL,passed
RMLTC0002i-SQLServer,passed
RMLTC0002j-MySQL,passed
RMLTC0002j-PostgreSQL,passed
RMLTC0002j-SQLServer,passed
RMLTC0003a-MySQL,passed
RMLTC0003a-PostgreSQL,passed
RMLTC0003a-SQLServer,passed
RMLTC0003b-MySQL,passed
RMLTC0003b-PostgreSQL,passed
RMLTC0003b-SQLServer,passed
RMLTC0003c-CSV,passed
RMLTC0003c-JSON,passed
RMLTC0003c-XML,inapplicable
RMLTC0003c-MySQL,passed
RMLTC0003c-PostgreSQL,passed
RMLTC0003c-SQLServer,passed
RMLTC0003c-SPARQL,inapplicable
RMLTC0004a-CSV,passed
RMLTC0004a-JSON,passed
RMLTC0004a-XML,inapplicable
RMLTC0004a-MySQL,passed
RMLTC0004a-PostgreSQL,passed
RMLTC0004a-SQLServer,passed
RMLTC0004a-SPARQL,inapplicable
RMLTC0004b-CSV,passed
RMLTC0004b-JSON,passed
RMLTC0004b-XML,inapplicable
RMLTC0004b-MySQL,passed
RMLTC0004b-PostgreSQL,passed
RMLTC0004b-SQLServer,passed
RMLTC0004b-SPARQL,inapplicable
RMLTC0005a-CSV,passed
RMLTC0005a-JSON,passed
RMLTC0005a-XML,inapplicable
RMLTC0005a-MySQL,passed
RMLTC0005a-PostgreSQL,passed
RMLTC0005a-SQLServer,passed
RMLTC0005b-MySQL,passed
RMLTC0005b-PostgreSQL,passed
RMLTC0005b-SQLServer,passed
RMLTC0006a-CSV,passed
RMLTC0006a-JSON,passed
RMLTC0006a-XML,inapplicable
RMLTC0006a-MySQL,passed
RMLTC0006a-PostgreSQL,passed
RMLTC0006a-SQLServer,passed
RMLTC0006a-SPARQL,inapplicable
RMLTC0007a-CSV,passed
RMLTC0007a-JSON,passed
RMLTC0007a-XML,inapplicable
RMLTC0007a-MySQL,passed
RMLTC0007a-PostgreSQL,passed
RMLTC0007a-SQLServer,passed
RMLTC0007a-SPARQL,inapplicable
RMLTC0007b-CSV,passed
RMLTC0007b-JSON,passed
RMLTC0007b-XML,inapplicable
RMLTC0007b-MySQL,passed
RMLTC0007b-PostgreSQL,passed
RMLTC0007b-SQLServer,passed
RMLTC0007b-SPARQL,inapplicable
RMLTC0007c-CSV,passed
RMLTC0007c-JSON,passed
RMLTC0007c-XML,inapplicable
RMLTC0007c-MySQL,passed
RMLTC0007c-PostgreSQL,passed
RMLTC0007c-SQLServer,passed
RMLTC0007c-SPARQL,inapplicable
RMLTC0007d-CSV,passed
RMLTC0007d-JSON,passed
RMLTC0007d-XML,inapplicable
RMLTC0007d-MySQL,passed
RMLTC0007d-PostgreSQL,passed
RMLTC0007d-SQLServer,passed
RMLTC0007d-SPARQL,inapplicable
RMLTC0007e-CSV,passed
RMLTC0007e-JSON,passed
RMLTC0007e-XML,inapplicable
RMLTC0007e-MySQL,passed
RMLTC0007e-PostgreSQL,passed
RMLTC0007e-SQLServer,passed
RMLTC0007e-SPARQL,inapplicable
