tester,platform,testid
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0016a-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007c-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0010c-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0015a-JSON
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007d-XML
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0012a-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0012c-CSV
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0019b-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0019b-JSON
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0012b-CSV
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0002j-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0009b-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007e-XML
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0006a-XML
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0002h-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0005b-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0005b-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0008a-CSV
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0004b-CSV
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0008c-CSV
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0010c-XML
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007g-XML
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007g-SPARQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0007h-PostgreSQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0002h-MySQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0008b-SQLServer
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0004a-SPARQL
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0012a-CSV
dchaves.oeg-upm.net,https://github.com/carml/carml,RMLTC0011a-MySQL
