testid,result
rmltc0007b-sparql,passed
rmltc0018a-postgresql,failed
rmltc0007f-sqlserver,passed
rmltc0018a-mysql,failed
rmltc0011a-sqlserver,failed
rmltc0009a-xml,passed
rmltc0006a-mysql,passed
rmltc0002d-mysql,passed
rmltc0004a-postgresql,passed
rmltc0007f-postgresql,passed
rmltc0002g-sparql,passed
rmltc0007f-json,passed
rmltc0016b-postgresql,failed
rmltc0002c-postgresql,passed
rmltc0007a-csv,passed
rmltc0002a-json,passed
rmltc0011a-postgresql,failed
rmltc0007c-csv,passed
rmltc0003b-postgresql,passed
rmltc0014d-postgresql,failed
rmltc0012d-xml,passed
rmltc0007h-xml,passed
rmltc0015b-json,passed
rmltc0008a-sparql,passed
rmltc0002f-mysql,failed
rmltc0009c-sqlserver,passed
rmltc0019a-json,passed
rmltc0011b-csv,passed
rmltc0009b-xml,passed
rmltc0008c-json,passed
rmltc0005a-xml,passed
rmltc0020b-sqlserver,passed
rmltc0007b-csv,passed
rmltc0012b-mysql,passed
rmltc0010b-sqlserver,passed
rmltc0008c-postgresql,passed
rmltc0014d-mysql,failed
rmltc0010a-mysql,passed
rmltc0007a-json,passed
rmltc0002b-xml,passed
rmltc0012b-json,passed
rmltc0002i-postgresql,passed
rmltc0002j-sqlserver,passed
rmltc0002a-mysql,passed
rmltc0020a-postgresql,passed
rmltc0000-json,passed
rmltc0007a-sqlserver,passed
rmltc0002c-xml,passed
rmltc0012c-sqlserver,passed
rmltc0020b-csv,passed
rmltc0012a-postgresql,passed
rmltc0012e-mysql,failed
rmltc0007f-sparql,passed
rmltc0015b-postgresql,passed
rmltc0008b-mysql,passed
rmltc0016e-postgresql,failed
rmltc0007a-postgresql,passed
rmltc0016b-mysql,failed
rmltc0002d-postgresql,passed
rmltc0009b-json,passed
rmltc0003c-sqlserver,passed
rmltc0002a-xml,passed
rmltc0002g-sqlserver,passed
rmltc0016a-sqlserver,passed
rmltc0004b-mysql,passed
rmltc0009d-sqlserver,passed
rmltc0010b-json,passed
rmltc0002c-mysql,passed
rmltc0020a-csv,passed
rmltc0020b-mysql,passed
rmltc0010c-mysql,passed
rmltc0005a-json,passed
rmltc0009b-postgresql,passed
rmltc0001b-sqlserver,passed
rmltc0002g-mysql,passed
rmltc0013a-sqlserver,failed
rmltc0007g-sqlserver,passed
rmltc0007d-postgresql,passed
rmltc0001a-json,passed
rmltc0012e-sqlserver,failed
rmltc0002a-postgresql,passed
rmltc0010c-json,passed
rmltc0010b-postgresql,passed
rmltc0012c-mysql,passed
rmltc0004b-sqlserver,passed
rmltc0000-sqlserver,passed
rmltc0002e-xml,passed
rmltc0019b-xml,passed
rmltc0015a-xml,passed
rmltc0001b-csv,passed
rmltc0003c-sparql,passed
rmltc0016d-mysql,failed
rmltc0012a-mysql,passed
rmltc0019b-postgresql,passed
rmltc0003c-xml,passed
rmltc0004b-sparql,passed
rmltc0015b-sqlserver,passed
rmltc0002a-sparql,passed
rmltc0012a-sparql,passed
rmltc0012d-postgresql,passed
rmltc0007d-sparql,passed
rmltc0005b-postgresql,failed
rmltc0012c-json,passed
rmltc0000-xml,passed
rmltc0009b-sqlserver,passed
rmltc0019a-xml,passed
rmltc0015b-xml,passed
rmltc0002e-mysql,passed
rmltc0002a-sqlserver,passed
rmltc0001a-csv,passed
rmltc0002g-json,passed
rmltc0007h-sparql,passed
