tester,platform,testid
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0009a-MySQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0002i-MySQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0020a-XML
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0005a-MySQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0007b-SQLServer
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0009d-PostgreSQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0002i-SQLServer
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0007g-PostgreSQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0016c-PostgreSQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0002b-PostgreSQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0010a-PostgreSQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0007e-MySQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0007c-JSON
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0010a-SQLServer
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0002a-CSV
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0002c-CSV
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0011b-MySQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0001a-SQLServer
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0001b-JSON
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0003c-PostgreSQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0007g-MySQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0003b-MySQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0020b-XML
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0005a-PostgreSQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0019a-PostgreSQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0016b-SQLServer
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0002d-SQLServer
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0008c-SQLServer
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0009c-MySQL
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0002b-CSV
https://pieterheyvaert.com/#me,https://github.com/rmlio/rmlmapper-java,RMLTC0001b-MySQL
