testid,error_expected
RMLTC0009b-CSV,no
RMLTC0009b-JSON,no
RMLTC0009b-XML,no
RMLTC0009b-MySQL,no
RMLTC0009b-PostgreSQL,no
RMLTC0009b-SQLServer,no
RMLTC0009b-SPARQL,no
RMLTC0009c-MySQL,no
RMLTC0009c-PostgreSQL,no
RMLTC0009c-SQLServer,no
RMLTC0009d-MySQL,no
RMLTC0009d-PostgreSQL,no
RMLTC0009d-SQLServer,no
RMLTC0010a-CSV,no
RMLTC0010a-JSON,no
RMLTC0010a-MySQL,no
RMLTC0010a-PostgreSQL,no
RMLTC0010a-SQLServer,no
RMLTC0010b-CSV,no
RMLTC0010b-JSON,no
RMLTC0010b-XML,no
RMLTC0010b-MySQL,no
RMLTC0010b-PostgreSQL,no
RMLTC0010b-SQLServer,no
RMLTC0010c-CSV,no
RMLTC0010c-JSON,no
RMLTC0010c-XML,no
RMLTC0010c-MySQL,no
RMLTC0010c-PostgreSQL,no
RMLTC0010c-SQLServer,no
RMLTC0011a-MySQL,no
RMLTC0011a-PostgreSQL,no
RMLTC0011a-SQLServer,no
RMLTC0011b-CSV,no
RMLTC0011b-JSON,no
RMLTC0011b-XML,no
RMLTC0011b-MySQL,no
RMLTC0011b-PostgreSQL,no
RMLTC0011b-SQLServer,no
RMLTC0012a-CSV,no
RMLTC0012a-JSON,no
RMLTC0012a-XML,no
RMLTC0012a-MySQL,no
RMLTC0012a-PostgreSQL,no
RMLTC0012a-SQLServer,no
RMLTC0012a-SPARQL,no
RMLTC0012b-CSV,no
RMLTC0012b-JSON,no
RMLTC0012b-XML,no
RMLTC0012b-MySQL,no
RMLTC0012b-PostgreSQL,no
RMLTC0012b-SQLServer,no
RMLTC0012b-SPARQL,no
RMLTC0012c-CSV,no
RMLTC0012c-JSON,no
RMLTC0012c-XML,no
RMLTC0012d-CSV,no
RMLTC0012d-JSON,no
RMLTC0012d-XML,no
RMLTC0012e-MySQL,no
RMLTC0012e-PostgreSQL,no
RMLTC0012e-SQLServer,no
RMLTC0013a-JSON,no
RMLTC0013a-MySQL,no
RMLTC0013a-PostgreSQL,no
RMLTC0013a-SQLServer,no
RMLTC0014d-MySQL,no
RMLTC0014d-PostgreSQL,no
RMLTC0014d-SQLServer,no
RMLTC0015a-CSV,no
RMLTC0015a-JSON,no
RMLTC0015a-XML,no
RMLTC0015a-MySQL,no
RMLTC0015a-PostgreSQL,no
RMLTC0015a-SQLServer,no
RMLTC0015b-CSV,yes
RMLTC0015b-JSON,yes
RMLTC0015b-XML,yes
RMLTC0015b-MySQL,yes
RMLTC0015b-PostgreSQL,yes
RMLTC0015b-SQLServer,yes
RMLTC0016a-MySQL,no
RMLTC0016a-PostgreSQL,no
RMLTC0016a-SQLServer,no
RMLTC0016b-MySQL,no
RMLTC0016b-PostgreSQL,no
RMLTC0016b-SQLServer,no
RMLTC0016c-MySQL,no
RMLTC0016c-PostgreSQL,no
RMLTC0016c-SQLServer,no
RMLTC0016d-MySQL,no
RMLTC0016d-PostgreSQL,no
RMLTC0016d-SQLServer,no
RMLTC0016e-MySQL,no
RMLTC0016e-PostgreSQL,no
RMLTC0016e-SQLServer,no
RMLTC0018a-MySQL,no
RMLTC0018a-PostgreSQL,no
RMLTC0018a-SQLServer,no
RMLTC0019a-CSV,no
RMLTC0019a-JSON,no
RMLTC0019a-XML,no
RMLTC0019a-MySQL,no
RMLTC0019a-PostgreSQL,no
RMLTC0019a-SQLServer,no
RMLTC0019b-CSV,no
RMLTC0019b-JSON,no
RMLTC0019b-XML,no
RMLTC0019b-MySQL,no
RMLTC0019-PostgreSQL,no
RMLTC0019b-SQLServer,no
RMLTC0020a-CSV,no
RMLTC0020a-JSON,no
RMLTC0020a-XML,no
RMLTC0020a-MySQL,no
RMLTC0020a-PostgreSQL,no
RMLTC0020a-SQLServer,no
RMLTC0020b-CSV,no
RMLTC0020b-JSON,no
RMLTC0020b-XML,no
RMLTC0020b-MySQL,no
RMLTC0020b-PostgreSQL,no
RMLTC0020b-SQLServer,no
